1-5-9: W:25.07, H:10.03, A:233.36
1-5-27: W:24.04, H:13.68, A:194.24
1-3-14: W:24.30, H:11.75, A:185.77
1-3-20: W:24.30, H:10.89, A:189.12
1-2-1: W:23.28, H:12.13, A:183.45
1-2-2: W:21.74, H:12.94, A:163.84
1-2-3: W:21.74, H:12.99, A:165.58
1-2-4: W:21.49, H:11.99, A:169.58
1-2-5: W:21.49, H:10.60, A:175.39
1-2-6: W:21.49, H:10.28, A:173.01
1-2-7: W:22.51, H:10.91, A:177.65
1-2-8: W:20.72, H:11.14, A:158.84
1-2-9: W:19.95, H:11.09, A:155.62
1-2-10: W:19.95, H:10.64, A:161.92
1-2-11: W:19.95, H:9.56, A:166.42
1-2-12: W:20.72, H:9.42, A:168.78
1-2-13: W:21.74, H:11.14, A:173.89
1-2-14: W:20.72, H:11.50, A:159.59
1-2-15: W:20.72, H:11.90, A:158.63
1-2-16: W:19.95, H:11.45, A:156.22
1-2-17: W:19.95, H:9.74, A:161.54
1-2-18: W:21.74, H:9.24, A:177.44
1-2-19: W:22.51, H:10.05, A:179.07
1-2-20: W:21.74, H:10.14, A:169.35
1-2-21: W:22.51, H:10.82, A:174.60
1-2-22: W:21.49, H:11.18, A:166.38
1-2-23: W:17.39, H:8.07, A:140.89
1-2-24: W:21.74, H:8.39, A:184.56
1-2-25: W:22.51, H:10.87, A:178.20
1-2-26: W:22.51, H:11.72, A:169.25
1-2-27: W:22.51, H:12.53, A:167.18
1-2-28: W:21.74, H:12.53, A:160.89
1-2-29: W:19.69, H:10.87, A:154.19
1-2-30: W:20.72, H:8.70, A:170.78
1-9-1: W:24.04, H:10.40, A:188.46
1-9-2: W:20.72, H:10.66, A:158.03
1-9-3: W:21.74, H:10.66, A:165.15
1-9-4: W:21.49, H:10.18, A:165.70
1-9-5: W:21.49, H:9.62, A:172.99
1-9-6: W:21.74, H:9.57, A:170.00
1-9-7: W:22.51, H:10.79, A:170.06
1-9-8: W:22.51, H:10.75, A:164.49
1-9-9: W:21.74, H:11.57, A:157.69
1-9-10: W:20.72, H:11.40, A:151.89
1-9-11: W:20.72, H:9.70, A:162.69
1-9-12: W:23.28, H:8.09, A:190.37
1-9-13: W:23.28, H:8.57, A:189.26
1-9-14: W:24.30, H:10.18, A:191.81
1-9-15: W:23.28, H:10.23, A:181.12
1-9-16: W:20.72, H:9.79, A:161.94
1-9-17: W:20.72, H:10.18, A:161.97
1-9-18: W:20.72, H:10.27, A:161.70
1-9-19: W:22.51, H:10.40, A:173.38
1-9-20: W:24.04, H:11.23, A:180.39
1-9-21: W:23.28, H:11.40, A:168.81
1-9-22: W:21.74, H:11.40, A:156.65
1-9-23: W:19.69, H:11.01, A:143.08
1-9-24: W:20.72, H:9.92, A:159.41
1-9-25: W:21.74, H:9.14, A:173.93
1-9-26: W:23.28, H:9.66, A:181.84
1-9-27: W:21.74, H:10.01, A:164.80
1-9-28: W:20.72, H:10.23, A:154.26
1-9-29: W:18.93, H:10.31, A:141.40
1-9-30: W:18.93, H:9.92, A:144.74
